Year,Institution,Total Undergraduate Students,Total Graduate Students,Enrollment,Total Undergraduate FTE,Total Graduate FTE,Total FTE Students,FTFTF,Retention Rate,Total Undergraduate Awards,Total Graduate Awards,Degrees Awarded
2023,Chattanooga State Community College,7156.00,0.00,7156.00,4485.47,0.00,4485.47,1202.00,0.63,1209.00,0.00,1209.00
2023,Cleveland State Community College,3284.00,0.00,3284.00,2096.80,0.00,2096.80,687.00,0.55,1165.00,0.00,1165.00
2023,Columbia State Community College,5301.00,0.00,5301.00,3525.87,0.00,3525.87,1169.00,0.63,962.00,0.00,962.00
2023,Dyersburg State Community College,3203.00,0.00,3203.00,1866.60,0.00,1866.60,458.00,0.61,800.00,0.00,800.00
2023,Jackson State Community College,3224.00,0.00,3224.00,2119.07,0.00,2119.07,612.00,0.55,666.00,0.00,666.00
2023,Motlow State Community College,6090.00,0.00,6090.00,4077.60,0.00,4077.60,1444.00,0.60,1012.00,0.00,1012.00
2023,Nashville State Community College,6979.00,0.00,6979.00,4201.54,0.00,4201.54,1158.00,0.45,1051.00,0.00,1051.00
2023,Northeast State Community College,5511.00,0.00,5511.00,3579.40,0.00,3579.40,1026.00,0.59,1238.00,0.00,1238.00
2023,Pellissippi State Community College,8826.00,0.00,8826.00,5602.54,0.00,5602.54,1913.00,0.64,1778.00,0.00,1778.00
2023,Roane State Community College,5018.00,0.00,5018.00,3283.94,0.00,3283.94,914.00,0.64,877.00,0.00,877.00
2023,Southwest Tennessee Community College,7280.00,0.00,7280.00,4151.54,0.00,4151.54,1015.00,0.53,996.00,0.00,996.00
2023,Volunteer State Community College,6666.00,0.00,6666.00,4464.00,0.00,4464.00,1466.00,0.53,1620.00,0.00,1620.00
2023,Walters State Community College,5862.00,0.00,5862.00,3860.27,0.00,3860.27,1228.00,0.59,1227.00,0.00,1227.00
2023,Austin Peay State University,8617.00,1386.00,10003.00,6746.01,906.33,7652.35,1347.00,0.69,2550.00,591.00,3141.00
2023,East Tennessee State University,10689.00,2996.00,13685.00,9631.34,2246.75,11878.09,2031.00,0.78,2439.00,1040.00,3479.00
2023,Middle Tennessee State University,17757.00,2533.00,20290.00,14812.62,1411.50,16224.11,2768.00,0.80,3870.00,1072.00,4942.00
2023,Tennessee State University,6775.00,1436.00,8211.00,6410.21,870.92,7281.12,3569.00,0.64,773.00,499.00,1272.00
2023,Tennessee Technological University,8878.00,1291.00,10169.00,8199.74,669.92,8869.65,2048.00,0.82,1831.00,683.00,2514.00
2023,University of Memphis,16957.00,5019.00,21976.00,13139.54,3128.16,16267.71,2354.00,0.74,2948.00,1979.00,4927.00
2023,"University of Tennessee, Chattanooga",9962.00,1399.00,11361.00,9255.21,1003.67,10258.88,2227.00,0.82,2171.00,495.00,2666.00
2023,"University of Tennessee, Knoxville",28799.00,7384.00,36183.00,27144.69,5459.62,32604.31,6641.00,0.94,5568.00,2742.00,8310.00
2023,"University of Tennessee, Martin",6243.00,704.00,6947.00,4841.14,386.92,5228.05,1097.00,0.79,1018.00,275.00,1293.00
2022,Chattanooga State Community College,7050.00,0.00,7050.00,4343.21,0.00,4343.21,1179.00,0.56,1429.00,0.00,1429.00
2022,Cleveland State Community College,3217.00,0.00,3217.00,2108.74,0.00,2108.74,598.00,0.60,1092.00,0.00,1092.00
2022,Columbia State Community College,5158.00,0.00,5158.00,3438.81,0.00,3438.81,1353.00,0.56,1102.00,0.00,1102.00
2022,Dyersburg State Community College,2743.00,0.00,2743.00,1708.80,0.00,1708.80,487.00,0.57,883.00,0.00,883.00
2022,Jackson State Community College,3504.00,0.00,3504.00,2034.60,0.00,2034.60,734.00,0.49,665.00,0.00,665.00
2022,Motlow State Community College,5640.00,0.00,5640.00,3786.07,0.00,3786.07,1440.00,0.54,1071.00,0.00,1071.00
2022,Nashville State Community College,6725.00,0.00,6725.00,4063.21,0.00,4063.21,1116.00,0.45,1195.00,0.00,1195.00
2022,Northeast State Community College,5133.00,0.00,5133.00,3389.34,0.00,3389.34,1138.00,0.57,1219.00,0.00,1219.00
